City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
421,Muisne,EC,78.44,0.6,-80.0333,
422,Waingapu,ID,76.77,-9.6567,120.2641,
427,Bud,US,81.82,39.447,-86.1758,
430,Kelo,TD,85.39,9.3086,15.8066,
433,Nha Trang,VN,77.0,12.25,109.1833,
438,Mont-Dore,NC,75.99,-22.2833,166.5833,
440,Auki,SB,80.04,-8.7676,160.7034,
445,Jaisalmer,IN,89.46,26.9147,70.9181,
446,Coruripe,BR,78.15,-10.1256,-36.1756,
458,Uthal,PK,83.39,25.8072,66.6219,
459,Mampong,GH,76.91,7.0627,-1.4001,
460,Macapa,BR,82.38,0.0389,-51.0664,
462,Mandera,KE,81.95,3.9366,41.867,
465,Ler,SS,80.13,8.3018,30.1418,
467,Hobyo,SO,80.76,5.3505,48.5268,
468,Srandakan,ID,76.89,-7.9386,110.2506,
473,Columbia,US,87.06,34.0007,-81.0348,
480,Aitape,PG,78.84,-3.1374,142.3475,
481,Talwandi Bhai,IN,89.64,30.85,74.9333,
483,Barinas,VE,82.6,8.6226,-70.2075,
485,Kasongo-Lunda,CD,75.33,-6.4667,16.8167,
488,Bambari,CF,75.02,5.768,20.6757,
489,Yamethin,MM,76.33,20.4333,96.15,
490,Baculin,PH,77.79,7.4525,126.5842,
494,Itupiranga,BR,82.72,-5.1347,-49.3267,
505,Sawakin,SD,82.44,19.1059,37.3321,
506,Boyolangu,ID,75.2,-8.1181,111.8935,
507,Mahajanga,MG,77.02,-15.7167,46.3167,
508,Singaraja,ID,79.84,-8.112,115.0882,
509,Esperantina,BR,80.53,-3.9017,-42.2336,
515,Santa Clara,CU,83.86,22.4,-79.9667,
516,Codajas,BR,78.6,-3.8367,-62.0569,
517,Pathardih,IN,86.54,23.6667,86.4333,
518,Indramayu,ID,80.91,-6.3264,108.32,
520,Jiwani,PK,84.25,25.05,61.7417,
521,Dwarka,IN,82.56,22.2394,68.9678,
523,Glen Allen,US,85.01,37.666,-77.5064,
526,Santarem,BR,84.33,-2.4431,-54.7083,
527,Alice Town,BS,80.28,25.7167,-79.3,
532,Pobe,BJ,78.55,6.9801,2.6649,
536,Makakilo City,US,82.72,21.3469,-158.0858,
538,Puerto Carreno,CO,85.71,6.189,-67.4859,
543,Ormara,PK,82.69,25.2088,64.6357,
544,Kieta,PG,80.2,-6.2167,155.6333,
546,Trincomalee,LK,82.51,8.5711,81.2335,
548,Pitimbu,BR,81.19,-7.4706,-34.8086,
554,Mogadishu,SO,80.55,2.0371,45.3438,
559,Santa Isabel Do Rio Negro,BR,77.72,-0.4139,-65.0192,
563,Boca Do Acre,BR,77.86,-8.7522,-67.3978,
564,La Macarena,CO,79.02,2.1837,-73.7849,
565,Jawhar,SO,77.27,2.7809,45.5005,
