City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Richards Bay,ZA,2022-05-17 20:51:26,-28.783,32.0377,68.29,79,0,10.78
68,Dukat,RU,2022-05-17 20:51:27,62.55,155.55,30.15,92,100,5.46
69,Altay,CN,2022-05-17 20:51:27,47.8667,88.1167,57.09,47,0,6.82
70,Caarapo,BR,2022-05-17 20:51:28,-22.6342,-54.8222,52.18,63,1,8.55
71,Vao,NC,2022-05-17 20:51:29,-22.6667,167.4833,75.56,77,33,16.17
72,Hermanus,ZA,2022-05-17 20:51:30,-34.4187,19.2345,69.98,44,100,7.96
73,Tautira,PF,2022-05-17 20:51:30,-17.7333,-149.15,80.17,74,50,10.22
74,Thompson,CA,2022-05-17 20:51:31,55.7435,-97.8558,53.76,35,40,4.61
75,Pacific Grove,US,2022-05-17 20:51:31,36.6177,-121.9166,72.81,75,75,11.5
76,Georgetown,MY,2022-05-17 20:51:32,5.4112,100.3354,80.53,93,20,2.3
77,Port-Gentil,GA,2022-05-17 20:51:32,-0.7193,8.7815,80.29,81,79,4.94
78,Pasir Gudang,MY,2022-05-17 20:46:47,1.4584,103.8805,80.8,88,75,2.3
79,Avarua,CK,2022-05-17 20:51:34,-21.2078,-159.775,82.45,74,40,3.44
80,La Asuncion,VE,2022-05-17 20:51:34,11.0333,-63.8628,85.73,74,87,23.02
81,Sola,VU,2022-05-17 20:51:35,-13.8833,167.55,80.6,78,95,11.23
82,Hualmay,PE,2022-05-17 20:51:35,-11.0964,-77.6139,66.2,78,70,7.7
83,Hofn,IS,2022-05-17 20:51:36,64.2539,-15.2082,47.44,88,100,12.44
84,Tamandare,BR,2022-05-17 20:51:36,-8.7597,-35.1047,78.98,80,98,6.53
85,Silvania,BR,2022-05-17 20:51:37,-16.6589,-48.6081,65.61,57,1,10.33
86,Verkhoyansk,RU,2022-05-17 20:51:37,67.5447,133.385,32.95,92,100,2.93
87,West Lafayette,US,2022-05-17 20:48:20,40.4259,-86.9081,78.12,36,40,1.01
88,Jamestown,US,2022-05-17 20:51:39,42.097,-79.2353,58.51,58,40,18.41
89,Huarmey,PE,2022-05-17 20:52:40,-10.0681,-78.1522,68.49,75,64,8.55
90,Khani,GE,2022-05-17 20:52:41,41.9563,42.9566,44.17,86,2,4.09
91,Lagos,NG,2022-05-17 20:49:04,6.5833,3.75,80.92,88,100,3.53
92,Karanpura,IN,2022-05-17 20:52:42,29.1018,75.092,88.25,12,2,8.01
93,Kenora,CA,2022-05-17 20:52:42,49.8167,-94.4337,58.17,44,75,8.05
94,Tehachapi,US,2022-05-17 20:52:43,35.1322,-118.449,84.33,33,0,15.01
95,Ossora,RU,2022-05-17 20:52:44,59.2353,163.0719,34.3,100,100,2.1
96,Adrar,MR,2022-05-17 20:52:44,20.5022,-10.0711,88.81,10,7,11.27
97,San Policarpo,PH,2022-05-17 20:52:45,12.1791,125.5072,80.42,83,83,10.67
98,Sinnamary,GF,2022-05-17 20:52:45,5.3833,-52.95,79.88,88,100,11.88
99,Saint-Pierre,RE,2022-05-17 20:52:46,-21.3393,55.4781,69.48,73,0,6.91
100,Lompoc,US,2022-05-17 20:52:46,34.6391,-120.4579,74.84,63,0,35.01
101,Bubaque,GW,2022-05-17 20:52:47,11.2833,-15.8333,79.77,85,68,18.48
102,Airai,TL,2022-05-17 20:52:47,-8.9266,125.4092,57.09,79,22,2.91
103,Urucara,BR,2022-05-17 20:52:48,-2.5364,-57.76,79.03,94,89,2.19
104,Severnyy,RU,2022-05-17 20:52:49,50.677,36.5532,48.24,61,0,6.71
105,Husavik,IS,2022-05-17 20:52:50,66.0449,-17.3389,51.91,72,100,16.44
106,Inhambane,MZ,2022-05-17 20:52:50,-23.865,35.3833,70.47,82,27,9.71
107,Atbasar,KZ,2022-05-17 20:52:51,51.8,68.3333,57.97,61,100,4.41
108,Bandarbeyla,SO,2022-05-17 20:52:51,9.4942,50.8122,83.97,72,89,22.48
109,Paamiut,GL,2022-05-17 20:52:52,61.994,-49.6678,34.48,87,100,15.57
110,Aklavik,CA,2022-05-17 20:52:52,68.2191,-135.0107,26.6,80,100,13.8
111,Carnarvon,AU,2022-05-17 20:52:53,-24.8667,113.6333,72.25,64,71,8.93
112,Albany,US,2022-05-17 20:52:53,42.6001,-73.9662,66.16,49,31,3.0
113,Mar Del Plata,AR,2022-05-17 20:48:25,-38.0023,-57.5575,54.95,69,75,20.71
114,Esperance,AU,2022-05-17 20:52:55,-33.8667,121.9,57.88,86,2,18.61
115,Bo Phloi,TH,2022-05-17 20:52:56,14.3236,99.5161,82.31,93,100,2.24
116,Rio Gallegos,AR,2022-05-17 20:48:54,-51.6226,-69.2181,48.25,87,75,5.75
117,College,US,2022-05-17 20:52:58,64.8569,-147.8028,52.81,58,40,8.05
118,Takoradi,GH,2022-05-17 20:52:59,4.8845,-1.7554,79.88,87,60,8.37
119,Eskisehir,TR,2022-05-17 20:49:16,39.7767,30.5206,58.87,62,0,4.61
120,Gaoyou,CN,2022-05-17 20:53:00,32.7858,119.4278,62.96,53,0,6.93
121,Fortuna,US,2022-05-17 20:53:01,40.5982,-124.1573,64.85,73,40,18.41
122,Pangnirtung,CA,2022-05-17 20:53:01,66.1451,-65.7125,26.6,86,75,11.5
123,Lom Sak,TH,2022-05-17 20:53:02,16.7798,101.2422,75.0,78,100,3.44
124,Asau,RO,2022-05-17 20:53:02,46.4333,26.4,55.96,100,100,7.02
125,Touros,BR,2022-05-17 20:53:03,-5.1989,-35.4608,79.99,77,47,10.63
126,Saint-Philippe,RE,2022-05-17 20:53:03,-21.3585,55.7679,69.39,70,66,11.63
127,Lesosibirsk,RU,2022-05-17 20:53:04,58.2358,92.4828,59.67,72,60,6.85
128,Valley City,US,2022-05-17 20:53:04,46.9233,-98.0032,54.12,100,0,6.91
129,Meulaboh,ID,2022-05-17 20:53:05,4.1363,96.1285,77.36,87,100,3.62
130,Kamariotissa,GR,2022-05-17 20:53:06,40.4833,25.4667,68.34,69,15,3.87
