City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
143,Goderich,CA,71.91,overcast clouds,43.7501,-81.7165,Harmony Inn
144,Royan,FR,77.83,overcast clouds,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
146,Griffith,US,74.37,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
148,Conceicao Da Barra,BR,77.76,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
149,Mabaruma,GY,80.92,clear sky,8.2,-59.7833,Monty Brooms Guest House
150,Asau,RO,78.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
151,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
152,Owo,NG,72.19,light rain,7.1962,5.5868,The Chancery Hotel and Resort limited
153,Kawambwa,ZM,88.2,clear sky,-9.7915,29.0791,Chembe Nsofu
156,Camamu,BR,75.99,broken clouds,-13.9447,-39.1039,Hotel Rio Acarai
157,Ternate,ID,76.96,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
158,Luneville,FR,77.58,overcast clouds,48.6,6.5,Brit Hotel Nancy Lunéville
160,Lazaro Cardenas,MX,78.76,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
161,Naantali,FI,84.33,clear sky,60.4674,22.0243,Naantali Spa Hotel & Resort
163,Honiara,SB,76.69,overcast clouds,-9.4333,159.95,Heritage Park Hotel
165,Norwich,GB,81.46,clear sky,52.6278,1.2983,Holiday Inn Norwich City
166,Mvuma,ZW,76.78,clear sky,-19.2792,30.5283,Nyangombe Backpackers
167,Sibolga,ID,77.68,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
169,Cabo San Lucas,MX,82.06,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
171,Storsteinnes,NO,74.05,overcast clouds,69.2408,19.2344,Tingvoll
176,Kirando,TZ,82.9,scattered clouds,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
178,Mayo,US,72.39,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
179,Laguna,US,72.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
181,Keti Bandar,PK,82.11,overcast clouds,24.1447,67.4497,Haji laloo memon house
183,Boyolangu,ID,75.25,scattered clouds,-8.1181,111.8935,Yos ega cv
184,Kirkwood,US,72.55,broken clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
185,Jega,NG,84.74,moderate rain,12.2175,4.3792,ALH. Nasiru Ibrahim
186,Tczew,PL,85.68,scattered clouds,54.0924,18.7779,Link Hotel
189,Montlucon,FR,78.71,broken clouds,46.3333,2.6,Hotel De La Gare
191,Energetik,RU,75.27,clear sky,51.7445,58.7934,Zhemchuzhina
197,Carutapera,BR,84.02,broken clouds,-1.195,-46.02,Lidera
199,Asfi,MA,75.13,clear sky,32.2994,-9.2372,Hôtel Abda
200,Gweta,BW,78.1,clear sky,-20.1833,25.2333,Gweta Lodge
204,Isangel,VU,75.72,overcast clouds,-19.55,169.2667,Tanna Lodge
205,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Alize Plage
207,Nyuksenitsa,RU,76.39,clear sky,60.4128,44.2397,Sukhona Hotel
208,Chateauroux,FR,78.8,broken clouds,46.8167,1.7,Hôtel Kyriad Chateauroux
211,Mahajanga,MG,76.68,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
215,Mumford,GH,75.83,overcast clouds,5.2618,-0.759,Spanish Villa
216,Rincon,US,83.95,broken clouds,32.296,-81.2354,Days Inn Rincon
218,Naze,JP,81.19,few clouds,28.3667,129.4833,Shishime Hotel
220,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
221,Augustow,PL,83.39,broken clouds,53.8432,22.9798,Hotel Warszawa SPA & Resort
222,Victoria,HK,88.18,overcast clouds,22.2855,114.1577,Mini Central
224,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
228,Khani,GE,78.37,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
231,Katsuura,JP,80.76,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
234,Kourou,GF,89.65,clear sky,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
235,Havelock,US,78.78,overcast clouds,34.8791,-76.9013,Sherwood Motel
236,Gopalur,IN,77.04,light rain,16.6167,77.8,Dhaba- Motel
237,Nara,JP,87.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
238,Guelph,CA,75.51,overcast clouds,43.5501,-80.2497,Comfort Inn Guelph
239,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
240,Puerto Ayora,EC,71.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
245,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
247,Shimoda,JP,82.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
248,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
250,Elizabeth City,US,78.06,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
254,Konya,TR,85.48,clear sky,38.1667,32.5,Meydan Ahmet Muhtar
255,Kapoeta,SS,79.43,broken clouds,4.7717,33.5903,Eastgate Hotel
257,Zheleznodorozhnyy,RU,84.38,clear sky,55.7503,38.0042,Hotel Dali
258,Los Llanos De Aridane,ES,77.13,scattered clouds,28.6585,-17.9182,Valle Aridane
260,Bahia Honda,CU,82.49,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
262,Nadudvar,HU,88.99,overcast clouds,47.4167,21.1667,Szatima Kft. Timarina Hotel
264,Myingyan,MM,88.0,scattered clouds,21.4667,95.3833,Yamethin
265,Caravelas,BR,77.81,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
267,Syedove,UA,85.91,scattered clouds,47.0768,38.156,Зеленый дворик - 37
270,Wewak,PG,79.3,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
272,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
275,Santona,ES,79.11,few clouds,43.4439,-3.4576,Playamar
276,Maues,BR,89.28,clear sky,-3.3836,-57.7186,Hotel Miramar
279,Petit Goave,HT,83.77,clear sky,18.4314,-72.8669,Imperial Suite International
280,Labuhan,ID,79.9,scattered clouds,-6.8844,112.2051,DoubleFAG
281,Zhezkazgan,KZ,78.8,clear sky,47.8043,67.7144,Hotel Zumrat
282,Ambilobe,MG,78.22,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
283,Shenjiamen,CN,81.63,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
284,Canico,PT,81.01,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
286,Muros,ES,72.16,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
290,Saint George,US,73.94,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
292,Puerto El Triunfo,SV,80.24,overcast clouds,13.2833,-88.55,Hotel Jardin
295,Vila Franca Do Campo,PT,82.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
297,Anloga,GH,75.74,overcast clouds,5.7947,0.8973,Pin Drop Hotel
299,Nicoya,CR,78.37,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
301,Boueni,YT,80.58,broken clouds,-12.9025,45.0761,The feet in water
303,Port Blair,IN,81.75,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
304,Jenks,US,86.23,clear sky,36.0229,-95.9683,Marriott Tulsa Hotel Southern Hills
306,Dingle,PH,75.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
308,Berea,US,74.71,broken clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
309,Ugoofaaru,MV,81.28,broken clouds,5.6667,73.0,Ungoofaaru Inn
311,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
