,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
343,Malpe,IN,13.35,74.7167,79.9,84,100,4.27,overcast clouds
344,Talakan,RU,50.3167,130.3667,60.57,85,0,4.03,clear sky
345,Lincoln,US,40.8,-96.667,67.17,92,85,8.01,light rain
346,Sinjar,IQ,36.3209,41.8754,97.75,15,0,14.32,clear sky
347,North Bend,US,43.4065,-124.2243,59.16,97,100,0.0,overcast clouds
348,Deputatskiy,RU,69.3,139.9,39.2,90,100,3.29,overcast clouds
349,Moranbah,AU,-22.0016,148.0466,55.22,35,0,6.8,clear sky
350,Hailin,CN,44.5833,129.4167,60.55,96,100,5.39,overcast clouds
351,Santiago,CL,-33.4569,-70.6483,51.85,82,75,4.61,broken clouds
352,Dubno,UA,50.4169,25.7343,79.63,59,100,8.16,overcast clouds
353,Mariental,NA,-24.6333,17.9667,76.01,12,21,7.38,few clouds
354,Villacarrillo,ES,38.1156,-3.0848,85.78,18,0,10.22,clear sky
355,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,66,0,16.11,clear sky
356,Greeneville,US,36.1632,-82.831,76.42,78,0,5.75,clear sky
357,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,14.97,broken clouds
358,Kaduqli,SD,11.0167,29.7167,74.84,84,100,8.95,light rain
359,Balikpapan,ID,-1.2675,116.8289,81.59,78,20,2.3,few clouds
360,Praia Da Vitoria,PT,38.7333,-27.0667,79.75,77,52,12.39,light rain
361,Kathu,TH,7.9178,98.3332,87.69,96,100,12.71,overcast clouds
362,Lagos,NG,6.5833,3.75,74.46,90,100,9.48,light rain
363,Brownwood,US,31.7093,-98.9912,78.12,75,100,10.85,overcast clouds
364,Zyryanka,RU,65.75,150.85,46.17,76,6,4.16,clear sky
365,Flinders,AU,-34.5833,150.8552,53.26,74,46,1.99,scattered clouds
366,Goundam,ML,16.4145,-3.6708,102.61,25,15,8.7,few clouds
367,Igrim,RU,63.1906,64.4162,59.45,58,100,9.84,overcast clouds
368,Am Timan,TD,11.0297,20.2827,77.2,83,99,10.63,light rain
369,Puksoozero,RU,62.5903,40.6066,76.39,46,27,3.09,scattered clouds
370,Kirakira,SB,-10.4544,161.9205,77.79,77,100,3.36,overcast clouds
371,Riberalta,BO,-10.9833,-66.1,82.6,74,0,9.22,smoke
372,Baglung,NP,28.2719,83.5898,71.91,97,78,2.68,broken clouds
373,Kanye,BW,-24.9667,25.3327,65.1,9,62,5.06,broken clouds
374,Los Algarrobos,PA,8.5,-82.4333,79.21,87,40,3.44,scattered clouds
375,Hay River,CA,60.8156,-115.7999,60.91,84,38,7.27,scattered clouds
376,Omsukchan,RU,62.5333,155.8,49.57,87,100,7.83,overcast clouds
377,Qaqortoq,GL,60.7167,-46.0333,50.13,81,98,5.93,overcast clouds
378,Strezhevoy,RU,60.7333,77.5889,44.92,94,100,15.88,light rain
379,Scarborough,GB,54.2797,-0.4044,83.77,72,100,4.0,overcast clouds
380,San Jose,US,37.3394,-121.895,60.67,85,20,3.44,few clouds
381,Sturgis,US,41.7992,-85.4192,69.94,86,100,5.75,overcast clouds
382,Lubango,AO,-14.9172,13.4925,80.06,10,0,3.31,clear sky
383,Manacapuru,BR,-3.2997,-60.6206,86.65,57,68,2.15,broken clouds
384,Burnie,AU,-41.0667,145.9167,50.94,81,98,6.31,overcast clouds
385,Langsa,ID,4.4683,97.9683,75.85,94,95,2.24,overcast clouds
386,Portland,US,45.5234,-122.6762,61.99,89,0,1.01,clear sky
387,Sheopur,IN,25.6667,76.7,80.65,83,41,8.5,scattered clouds
388,Mastung,PK,29.7994,66.845,76.82,58,8,9.64,clear sky
389,East London,ZA,-33.0153,27.9116,60.64,52,68,10.74,broken clouds
390,Usinsk,RU,65.9939,57.5281,55.94,53,100,17.27,overcast clouds
391,Bom Jesus,BR,-9.0744,-44.3586,89.82,30,14,8.7,few clouds
392,Souillac,MU,-20.5167,57.5167,70.75,78,43,14.41,light rain
393,Vila,PT,42.0304,-8.1588,72.7,48,62,10.85,broken clouds
394,Taungdwingyi,MM,20.0167,95.55,78.98,86,100,7.02,heavy intensity rain
395,Temir,KZ,49.1414,57.13,90.36,19,13,22.93,few clouds
396,Solnechnyy,RU,50.7214,136.6319,58.93,88,0,3.67,light rain
397,Kaspiyskiy,RU,45.3929,47.3707,85.6,53,0,22.19,clear sky
398,Mandalgovi,MN,45.7625,106.2708,69.58,35,0,8.43,clear sky
399,Toropets,RU,56.4978,31.6353,82.42,39,42,7.87,scattered clouds
400,Kjollefjord,NO,70.9457,27.3465,57.02,62,40,9.22,scattered clouds
401,Tigil,RU,57.8,158.6667,55.99,96,100,10.27,light rain
402,Taltal,CL,-25.4,-70.4833,61.84,61,0,7.29,clear sky
403,Yelan-Koleno,RU,51.1523,41.2306,91.67,23,33,16.15,scattered clouds
404,Bestobe,KZ,52.4994,73.0975,64.87,40,8,9.66,clear sky
405,Okha,RU,53.5739,142.9478,55.0,94,88,4.38,overcast clouds
406,Hobyo,SO,5.3505,48.5268,78.82,76,100,27.83,overcast clouds
407,Bonavista,CA,48.6499,-53.1147,66.22,96,100,11.39,overcast clouds
408,Mitsamiouli,KM,-11.3847,43.2844,76.32,71,10,11.18,clear sky
409,Betlitsa,RU,54.0095,33.9588,81.18,44,54,9.4,broken clouds
410,Zeya,RU,53.75,127.2667,56.98,91,98,3.67,overcast clouds
411,Ca Mau,VN,9.1769,105.15,80.76,81,94,4.07,overcast clouds
412,Tulum,MX,20.2167,-87.4667,82.83,77,12,5.64,few clouds
413,Sioux Lookout,CA,50.1001,-91.917,64.47,94,75,4.61,broken clouds
414,Ukwa,IN,21.9667,80.4667,70.41,98,100,12.01,heavy intensity rain
415,Ukiah,US,39.1502,-123.2078,71.37,81,0,0.0,clear sky
416,Koygorodok,RU,60.445,50.9968,73.06,42,36,5.14,scattered clouds
417,Fukue,JP,32.6881,128.8419,83.89,86,100,22.19,overcast clouds
418,Baruun-Urt,MN,46.6806,113.2792,63.39,50,34,4.43,scattered clouds
419,Waingapu,ID,-9.6567,120.2641,76.23,83,59,10.0,broken clouds
420,Wajima,JP,37.4,136.9,82.38,79,100,19.8,overcast clouds
421,Nauta,PE,-4.5061,-73.5757,82.51,63,10,2.48,clear sky
422,Golden,US,39.7555,-105.2211,71.92,64,40,6.91,scattered clouds
423,Teahupoo,PF,-17.8333,-149.2667,69.53,77,84,14.14,broken clouds
424,Tautira,PF,-17.7333,-149.15,77.54,77,71,13.31,broken clouds
425,San Buenaventura,MX,27.0833,-101.5333,74.48,76,91,5.86,overcast clouds
426,Marienburg,PL,54.0359,19.0266,85.87,30,61,15.75,broken clouds
427,Bara,NG,10.3744,10.7288,72.64,92,100,10.49,light rain
428,Bereda,ES,43.2686,-7.5406,85.41,42,86,7.92,overcast clouds
429,Sola,VU,-13.8833,167.55,79.65,75,99,13.89,overcast clouds
430,Gimli,CA,50.6336,-96.9907,68.83,78,5,3.0,clear sky
431,Puerto Maldonado,PE,-12.6,-69.1833,84.6,65,0,4.61,clear sky
432,Lavrentiya,RU,65.5833,-171.0,36.28,85,100,2.84,overcast clouds
433,Half Moon Bay,US,37.4636,-122.4286,60.71,91,100,5.75,mist
434,Santiago Del Estero,AR,-27.7951,-64.2615,72.88,42,0,21.09,clear sky
435,Iskateley,RU,67.6803,53.1512,54.66,70,61,17.16,light rain
436,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,10.36,broken clouds
437,Patzcuaro,MX,19.5167,-101.6,52.5,93,99,1.05,overcast clouds
438,Yangambi,CD,0.8102,24.4336,80.76,66,100,3.13,overcast clouds
439,Dukat,RU,62.55,155.55,47.88,89,100,7.85,overcast clouds
440,Jagdalpur,IN,19.0667,82.0333,71.28,95,100,6.62,light rain
441,Oktyabrskiy,RU,54.4815,53.471,73.04,44,0,8.05,clear sky
442,Houston,US,29.7633,-95.3633,86.99,77,0,6.91,clear sky
443,Vyyezdnoye,RU,55.3815,43.7864,79.29,42,76,7.67,broken clouds
444,Owando,CG,-0.4819,15.8999,98.19,21,100,2.82,overcast clouds
445,Nefteyugansk,RU,61.0998,72.6035,55.58,51,99,10.92,overcast clouds
446,Haysville,US,37.5645,-97.3523,86.34,53,20,6.91,few clouds
447,General Roca,AR,-39.0333,-67.5833,48.29,38,1,29.37,clear sky
448,Pascagoula,US,30.3658,-88.5561,87.8,74,0,5.75,clear sky
449,Te Anau,NZ,-45.4167,167.7167,42.06,92,100,1.7,overcast clouds
450,Humberto De Campos,BR,-2.5983,-43.4611,88.12,48,46,6.29,scattered clouds
451,Tupancireta,BR,-29.0806,-53.8358,66.47,76,100,15.93,overcast clouds
452,Laje,BR,-10.1833,-40.9667,71.76,69,96,13.69,overcast clouds
453,Faya,SA,18.3851,42.4509,68.52,60,100,8.52,overcast clouds
454,Takoradi,GH,4.8845,-1.7554,76.82,81,100,13.78,light rain
455,Rathenow,DE,52.6066,12.337,85.15,39,84,5.66,broken clouds
456,Chany,RU,55.3121,76.7647,55.56,52,58,12.01,broken clouds
457,Golkoy,TR,40.6875,37.6178,67.41,90,80,5.44,broken clouds
458,Samarai,PG,-10.6167,150.6667,79.45,83,29,5.75,scattered clouds
459,Daru,PG,-9.0763,143.2092,76.53,84,86,10.74,overcast clouds
460,Manzhouli,CN,49.6,117.4333,69.55,42,98,5.57,overcast clouds
461,Kirkenaer,NO,60.4564,12.0582,79.0,47,74,7.52,broken clouds
462,Manggar,ID,-2.8833,108.2667,81.93,77,59,6.55,broken clouds
463,Yatou,CN,37.15,122.3833,73.2,92,12,8.16,few clouds
464,Poum,NC,-20.2333,164.0167,74.12,89,100,31.07,moderate rain
465,Ailigandi,PA,9.2333,-78.0167,80.37,78,100,5.1,overcast clouds
466,Sulat,PH,11.8103,125.4544,78.82,84,100,3.24,overcast clouds
467,Quatre Cocos,MU,-20.2078,57.7625,71.1,76,89,16.08,light rain
468,Nishihara,JP,26.1842,127.7558,83.86,84,20,13.8,few clouds
469,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,46,0,21.85,clear sky
470,Santa Cruz De Tenerife,ES,28.4682,-16.2546,84.6,69,40,21.85,scattered clouds
471,Massaguet,TD,12.4755,15.4365,72.77,96,100,8.1,moderate rain
472,Male,MV,4.1748,73.5089,81.27,75,36,3.36,scattered clouds
473,San Francisco,US,37.7749,-122.4194,62.53,91,20,11.99,few clouds
474,Grand Gaube,MU,-20.0064,57.6608,71.38,69,94,10.0,overcast clouds
475,Dalhousie,IN,32.5333,75.9833,58.55,96,100,4.29,overcast clouds
476,Altay,CN,47.8667,88.1167,67.46,46,0,5.26,clear sky
477,Shagamu,NG,6.8432,3.6478,78.58,92,100,8.01,light rain
478,Walvis Bay,NA,-22.9575,14.5053,70.75,43,0,11.5,clear sky
479,Goldsboro,US,35.3849,-77.9928,75.13,71,75,0.0,broken clouds
480,Guadalajara,MX,20.6667,-103.3333,64.17,100,100,0.0,mist
481,Vinh,VN,18.6667,105.6667,82.24,83,0,4.21,clear sky
482,Brownsville,US,25.9018,-97.4975,84.15,88,0,10.36,clear sky
483,Severnyy,RU,50.677,36.5532,86.04,39,0,13.42,clear sky
484,Beringovskiy,RU,63.05,179.3167,52.45,92,100,4.97,light rain
485,Alta Floresta,BR,-9.8756,-56.0861,85.82,54,0,4.61,smoke
486,Alice Springs,AU,-23.7,133.8833,51.35,54,0,0.0,clear sky
487,Nuuk,GL,64.1835,-51.7216,47.01,87,100,11.5,overcast clouds
488,Cap Malheureux,MU,-19.9842,57.6142,71.47,69,93,10.0,overcast clouds
489,Olean,US,42.0776,-78.4297,72.18,63,0,5.75,clear sky
490,Kaitangata,NZ,-46.2817,169.8464,42.06,86,100,6.6,light rain
491,Turukhansk,RU,65.8167,87.9833,60.76,60,89,5.77,overcast clouds
492,Morondava,MG,-20.2833,44.2833,76.93,68,0,11.27,clear sky
493,Torokszentmiklos,HU,47.1833,20.4167,94.23,31,20,2.3,light rain
494,Mairipora,BR,-23.3186,-46.5867,74.55,46,0,9.22,clear sky
495,Itoman,JP,26.1247,127.6694,84.58,84,20,13.8,few clouds
496,Jaciara,BR,-15.9653,-54.9683,92.5,25,30,10.83,scattered clouds
497,Saint Anthony,US,45.0205,-93.218,68.99,86,40,8.05,scattered clouds
498,Khuzdar,PK,27.7384,66.6434,78.62,67,72,10.47,light rain
499,Mersing,MY,2.4312,103.8405,76.91,94,40,6.91,scattered clouds
500,Inhambane,MZ,-23.865,35.3833,73.38,56,75,14.97,broken clouds
501,Aba,NG,5.1066,7.3667,80.69,69,99,12.5,light rain
502,Gorontalo,ID,0.5412,123.0595,75.87,93,96,4.14,overcast clouds
503,Ulladulla,AU,-35.35,150.4667,49.33,72,43,6.62,scattered clouds
504,Tuatapere,NZ,-46.1333,167.6833,44.91,83,100,4.52,overcast clouds
505,Salina,US,38.8403,-97.6114,84.31,64,0,6.91,clear sky
506,Concordia,AR,-31.393,-58.0209,69.87,87,75,11.01,broken clouds
507,Jos,NG,9.9167,8.9,64.71,95,100,11.01,light rain
508,Hualmay,PE,-11.0964,-77.6139,63.18,77,48,10.07,scattered clouds
509,Necocli,CO,8.4234,-76.786,77.11,88,98,9.15,overcast clouds
510,Namatanai,PG,-3.6667,152.4333,78.04,83,100,4.81,overcast clouds
511,Kutum,SD,14.2,24.6667,75.34,55,100,12.3,overcast clouds
512,Fort Nelson,CA,58.8053,-122.7002,54.99,94,20,4.61,few clouds
513,Bhandara,IN,21.1667,79.65,73.74,95,100,14.65,heavy intensity rain
514,Salalah,OM,17.0151,54.0924,77.09,94,100,8.05,haze
515,Doha,QA,25.2867,51.5333,107.91,39,0,10.36,clear sky
516,Tarko-Sale,RU,64.9225,77.785,46.33,91,100,20.65,light rain
517,Nantucket,US,41.2835,-70.0995,75.34,64,0,5.75,clear sky
518,Mitu,CO,1.1983,-70.1733,80.69,72,43,2.8,scattered clouds
519,Talusan,PH,7.4267,122.8103,82.33,71,99,0.78,overcast clouds
520,Ahipara,NZ,-35.1667,173.1667,58.62,86,100,13.89,overcast clouds
521,Menongue,AO,-14.6585,17.691,89.46,6,0,7.58,clear sky
522,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,73,20,21.85,few clouds
523,Bosaso,SO,11.2842,49.1816,92.64,49,71,4.63,broken clouds
524,Livingston,GB,55.9029,-3.5226,62.8,91,20,4.61,moderate rain
525,Bintulu,MY,3.1667,113.0333,75.61,94,20,3.44,few clouds
526,Sedalia,US,38.7045,-93.2283,73.44,79,0,7.0,clear sky
527,Tornio,FI,65.8481,24.1466,64.42,83,100,7.78,overcast clouds
528,Vondrozo,MG,-22.8167,47.2833,67.28,74,0,6.08,clear sky
529,Sinnamary,GF,5.3833,-52.95,83.5,66,10,6.49,clear sky
530,Wheeling,US,42.1392,-87.929,74.21,79,75,12.66,broken clouds
531,Jadu,LY,31.953,12.0261,103.01,11,0,10.6,clear sky
532,Razdolnoye,RU,43.55,131.9167,66.61,98,100,7.9,overcast clouds
533,Pacific Grove,US,36.6177,-121.9166,57.31,94,100,5.99,mist
534,Monzon,ES,41.9108,0.1941,90.82,14,0,11.41,clear sky
535,Santa Maria,BR,-29.6842,-53.8069,66.96,85,100,8.39,overcast clouds
536,Bambanglipuro,ID,-7.95,110.2833,77.49,90,81,5.37,moderate rain
537,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,80,75,28.77,broken clouds
538,Banda Aceh,ID,5.5577,95.3222,81.05,81,78,12.46,broken clouds
539,Shelby,US,35.2001,-89.8668,84.29,79,0,5.06,clear sky
540,Leh,IN,34.1667,77.5833,72.81,33,88,6.17,overcast clouds
541,Gambela,ET,8.25,34.5833,75.94,93,99,2.28,moderate rain
542,Ouidah,BJ,6.3631,2.0851,78.66,89,98,13.82,light rain
543,Karasjok,NO,69.4719,25.5112,63.28,66,100,9.08,overcast clouds
544,Lakselv,NO,70.0513,24.9718,57.02,58,20,10.36,few clouds
545,Baykit,RU,61.67,96.37,51.6,95,100,4.5,light rain
546,Meadow Lake,US,34.8014,-106.5436,75.69,60,95,1.88,overcast clouds
547,Clyde River,CA,70.4692,-68.5914,44.83,87,75,4.61,moderate rain
548,Riyadh,SA,24.6877,46.7219,107.74,10,0,15.46,clear sky
549,Gudari,IN,19.35,83.7833,77.67,88,100,1.28,moderate rain
550,Medicine Hat,CA,50.0501,-110.6683,67.21,56,20,0.0,few clouds
551,Rafai,CF,4.95,23.9167,71.06,93,100,3.0,light rain
552,Bogalusa,US,30.791,-89.8487,84.72,74,0,5.75,clear sky
553,Galbshtadt,RU,53.2264,78.9845,61.07,51,34,11.18,scattered clouds
554,Ndele,CF,8.4109,20.6473,73.04,87,100,6.89,light rain
555,Yuanping,CN,38.7153,112.7575,70.23,65,0,1.9,clear sky
556,Egvekinot,RU,66.3167,-179.1667,37.71,79,100,5.59,overcast clouds
557,Ponta Delgada,PT,37.7333,-25.6667,82.51,65,20,14.97,moderate rain
558,Tilichiki,RU,60.4667,166.1,52.07,94,100,3.74,light rain
559,La Macarena,CO,2.1837,-73.7849,80.06,70,20,0.94,few clouds
560,Sorland,NO,67.667,12.6934,57.06,82,0,11.5,clear sky
561,Moose Factory,CA,51.2585,-80.6094,66.2,68,0,8.05,clear sky
562,Pilar,BR,-9.5972,-35.9567,80.53,82,29,10.67,scattered clouds
563,Hovd,MN,48.0056,91.6419,73.53,25,2,15.17,clear sky
564,Yanam,IN,16.7333,82.2167,78.87,87,100,3.58,overcast clouds
565,Springdale,US,36.1867,-94.1288,83.98,72,0,4.61,clear sky
566,Vredendal,ZA,-31.6683,18.5012,74.59,17,9,16.22,clear sky
567,Baicheng,CN,45.6167,122.8167,64.36,85,49,7.23,scattered clouds
568,Gravdal,NO,68.1214,13.5031,69.69,56,0,3.44,clear sky
569,Santa Rosa,PH,14.3122,121.1114,79.11,94,100,5.12,overcast clouds
570,Manoel Urbano,BR,-8.8389,-69.2597,87.57,49,58,4.25,broken clouds
571,Port Macquarie,AU,-31.4333,152.9167,45.9,71,78,6.17,broken clouds
572,Matamoros,MX,25.5333,-103.25,75.31,69,75,3.44,broken clouds
573,Ambon,ID,-3.6954,128.1814,73.54,100,75,5.75,moderate rain
574,Olafsvik,IS,64.8945,-23.7142,48.51,64,55,5.3,broken clouds
575,Kimbe,PG,-5.5502,150.1429,74.8,93,100,3.53,overcast clouds
576,Sambava,MG,-14.2667,50.1667,71.53,82,91,8.63,light rain
577,Richards Bay,ZA,-28.783,32.0377,65.35,45,0,17.05,clear sky
578,Xuddur,SO,4.1213,43.8894,86.41,37,100,16.17,overcast clouds
579,Mana,GF,5.6592,-53.7767,84.49,62,25,7.16,scattered clouds
580,Deogarh,IN,21.5333,84.7333,76.14,90,100,2.35,overcast clouds
581,Kurkino,RU,53.4257,38.6582,81.46,37,99,11.1,overcast clouds
582,Denizli,TR,37.8402,29.0698,91.69,24,13,10.22,few clouds
583,Aras,ES,42.5617,-2.356,82.81,26,0,11.5,clear sky
584,Vokhtoga,RU,58.8147,41.0461,77.92,49,15,4.29,few clouds
585,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.0,74,20,6.91,few clouds
586,Kiama,AU,-34.6833,150.8667,53.46,72,46,3.0,scattered clouds
587,Prado,BR,-17.3411,-39.2208,77.94,51,10,9.55,clear sky
588,Carballo,ES,43.213,-8.691,74.89,68,95,10.45,overcast clouds
589,Barinas,VE,8.6226,-70.2075,84.24,74,48,1.14,scattered clouds
590,Lasa,IT,46.6166,10.7002,74.28,69,53,4.81,broken clouds
591,Kyzyl-Mazhalyk,RU,51.1333,90.6,60.24,50,45,7.74,scattered clouds
592,Spassk,RU,52.747,87.7545,56.12,67,99,2.71,overcast clouds
593,Vilyuysk,RU,63.7553,121.6247,50.11,92,17,4.88,few clouds
594,Kargasok,RU,59.0556,80.8572,44.4,95,100,17.4,light rain
595,Guilin,CN,25.2819,110.2864,82.51,79,37,2.28,scattered clouds
596,Verkhoyansk,RU,67.5447,133.385,59.67,75,100,3.96,overcast clouds
597,Arroyo Grande,US,35.1186,-120.5907,56.3,96,100,4.61,overcast clouds
598,Vanimo,PG,-2.6741,141.3028,78.01,83,99,3.13,overcast clouds
599,Kabompo,ZM,-13.5927,24.2008,91.87,9,18,6.02,few clouds
600,Kudat,MY,6.8837,116.8477,80.53,94,40,0.0,moderate rain
601,San Policarpo,PH,12.1791,125.5072,80.22,83,100,5.01,overcast clouds
602,Tezu,IN,27.9167,96.1667,77.94,89,62,2.73,broken clouds
603,Skelleftea,SE,64.7507,20.9528,75.99,76,0,4.61,clear sky
604,Kambove,CD,-10.8764,26.5969,85.5,11,1,5.23,clear sky
605,Mattoon,US,39.4831,-88.3728,69.62,88,100,9.22,overcast clouds
606,Farafangana,MG,-22.8167,47.8333,71.78,81,0,17.81,clear sky
607,Markova,UA,48.6758,24.4138,75.78,54,100,6.73,overcast clouds
608,Rairangpur,IN,22.2676,86.1751,78.6,84,54,5.88,broken clouds
609,Bismarck,US,46.8083,-100.7837,70.86,86,0,11.5,clear sky
610,Ambovombe,MG,-25.1667,46.0833,77.14,54,77,5.41,broken clouds
611,Kavieng,PG,-2.5744,150.7967,80.29,79,100,7.38,overcast clouds
612,Lima,PE,-12.0432,-77.0282,61.9,84,100,8.05,overcast clouds
613,Kimparana,ML,12.8347,-4.9244,92.86,45,96,8.75,overcast clouds
614,Newark,US,40.7357,-74.1724,82.2,52,75,3.44,broken clouds
615,Meridian,US,43.6121,-116.3915,69.13,50,0,4.61,haze
616,Capitao Poco,BR,-1.7464,-47.0594,84.85,61,38,6.08,scattered clouds
617,Rawson,AR,-43.3002,-65.1023,47.32,47,4,25.59,clear sky
618,Izumo,JP,35.3667,132.7667,84.15,85,100,7.96,heavy intensity rain
619,Harer,ET,9.3094,42.1258,74.79,47,99,12.75,light rain
620,Vestmanna,FO,62.1564,-7.1664,52.72,76,75,14.97,broken clouds
621,Halvad,IN,23.0167,71.1833,83.75,76,100,10.13,overcast clouds
622,Maicao,CO,11.3832,-72.2432,85.35,66,73,7.54,broken clouds
623,Korla,CN,41.7597,86.1469,91.02,23,89,9.24,overcast clouds
624,Mae Sai,TH,20.4335,99.8762,74.55,97,98,1.54,overcast clouds
625,Bahia Blanca,AR,-38.7196,-62.2724,50.54,34,0,18.23,clear sky
626,Koumac,NC,-20.5667,164.2833,73.2,88,100,16.26,overcast clouds
627,Santa Cruz,BO,-17.8,-63.1667,84.25,61,20,25.32,few clouds
628,Hyvinkaa,FI,60.6333,24.8667,81.79,53,99,1.99,overcast clouds
629,Hukuntsi,BW,-24.0,21.75,70.07,11,25,5.26,scattered clouds
630,Jiayuguan,CN,39.8167,98.3,79.75,21,6,5.88,clear sky
631,Nurota,UZ,40.5614,65.6886,94.24,12,0,8.97,clear sky
632,Uglovskoye,RU,51.3557,80.1942,67.46,34,55,13.02,broken clouds
633,Shenxian,CN,36.2411,115.6672,80.51,80,45,5.28,scattered clouds
634,Namtsy,RU,62.7161,129.6658,56.01,97,27,4.94,light rain
635,Thisted,DK,56.9552,8.6949,83.19,45,26,10.47,scattered clouds
636,Blackwater,AU,-23.5833,148.8833,55.24,38,0,7.94,clear sky
637,Grabouw,ZA,-34.1515,19.0151,61.2,47,100,2.91,overcast clouds
638,Petit-Canal,GP,16.3784,-61.4879,85.86,100,75,9.22,broken clouds
639,Inongo,CD,-1.95,18.2667,75.83,52,100,2.77,overcast clouds
640,Shaghat,AM,39.5625,45.9143,83.61,27,0,8.79,clear sky
641,Coruripe,BR,-10.1256,-36.1756,76.21,82,59,12.97,broken clouds
642,Vostok,RU,46.4856,135.8833,57.27,92,89,2.37,overcast clouds
643,Mecca,SA,21.4267,39.8261,102.16,21,100,16.62,overcast clouds
644,Statesboro,US,32.4488,-81.7832,81.93,57,0,9.22,clear sky
645,Barcelona,ES,41.3888,2.159,91.18,65,20,14.97,few clouds
646,Saint-Joseph,RE,-21.3667,55.6167,71.98,75,20,10.54,few clouds
647,Port-Cartier,CA,50.0334,-66.8654,71.28,49,55,3.2,broken clouds
648,East Angus,CA,45.4834,-71.6658,68.22,70,20,1.14,few clouds
649,Utrera,ES,37.1852,-5.7809,90.55,32,0,13.8,clear sky
650,Barranca,PE,-10.75,-77.7667,61.65,80,90,8.43,overcast clouds
651,Povenets,RU,62.8487,34.8262,74.07,50,44,5.08,scattered clouds
652,Shingu,JP,33.7333,135.9833,82.44,83,100,8.05,overcast clouds
653,Chicama,PE,-7.8447,-79.1469,57.74,74,43,6.98,scattered clouds
654,Ulety,RU,51.3572,112.4849,60.22,67,27,2.37,scattered clouds
655,Trofors,NO,65.5333,13.4063,78.67,63,100,6.85,overcast clouds
656,Almeirim,BR,-1.5233,-52.5817,88.79,51,5,5.37,clear sky
657,Filadelfia,US,39.9523,-75.1638,79.05,70,75,6.91,broken clouds
658,Batemans Bay,AU,-35.7167,150.1833,47.93,72,28,5.7,scattered clouds
659,Grindavik,IS,63.8424,-22.4338,50.47,62,0,10.36,clear sky
660,Tashtyp,RU,52.7939,89.8983,56.5,57,53,6.8,broken clouds
661,Virginia Beach,US,36.8529,-75.978,79.0,68,75,8.05,broken clouds
662,Moron,AR,-34.6534,-58.6198,59.97,80,63,12.86,moderate rain
663,Joura,IN,26.3411,77.8115,81.99,78,70,11.86,light rain
664,Chokwe,MZ,-24.5333,32.9833,70.59,45,91,14.9,overcast clouds
665,Eydhafushi,MV,5.1033,73.0708,81.01,78,69,3.98,broken clouds
666,Katangli,RU,51.7102,143.2326,53.8,99,96,5.14,overcast clouds
667,Balasesti,RO,46.1,27.6667,85.68,37,100,7.4,overcast clouds
668,Cache Creek,CA,50.8101,-121.3246,58.91,74,63,0.81,broken clouds
669,Llaillay,CL,-32.85,-70.9667,51.24,87,92,3.11,overcast clouds
670,Bayugan,PH,8.7561,125.7675,73.98,97,58,1.61,broken clouds
671,Tuy Hoa,VN,13.0833,109.3,80.28,83,96,5.91,overcast clouds
672,Kolobrzeg,PL,54.1757,15.5834,79.97,62,87,12.95,light rain
673,Pangai,TO,-19.8,-174.35,73.85,68,94,29.84,light rain
674,Giyon,ET,8.5333,37.9833,67.59,77,70,6.33,light rain
675,Bani,DO,18.2833,-70.3333,85.86,54,1,8.34,clear sky
676,Myrtle Beach,US,33.6891,-78.8867,85.01,64,0,5.75,clear sky
677,Pastavy,BY,55.1168,26.8326,80.67,59,98,9.26,overcast clouds
678,Kaihua,CN,23.3687,104.28,68.32,95,9,3.78,clear sky
679,Monywa,MM,22.1167,95.1333,89.38,58,31,8.43,scattered clouds
680,Isla Mujeres,MX,21.2311,-86.731,86.16,69,6,8.23,clear sky
681,Tarauaca,BR,-8.1614,-70.7656,86.5,53,24,3.71,few clouds
682,Kencong,ID,-8.2833,113.3667,76.24,92,28,0.81,scattered clouds
683,Birur,IN,13.6167,75.9667,72.5,79,100,8.61,light rain
684,Qiryat Shemona,IL,33.2073,35.5721,91.24,48,0,14.18,clear sky
685,Biak,ID,-0.9131,122.8766,75.38,83,100,6.6,overcast clouds
686,Noyabrsk,RU,63.1994,75.4507,48.13,76,99,18.1,overcast clouds
687,Acapulco,MX,16.8634,-99.8901,80.42,78,20,5.75,few clouds
688,Bayir,TR,37.2687,28.2167,82.92,37,13,11.7,few clouds
689,Ahuimanu,US,21.4447,-157.8378,78.51,79,100,5.75,overcast clouds
690,Tandil,AR,-37.3217,-59.1332,55.31,60,100,15.46,overcast clouds
691,Cascavel,BR,-24.9558,-53.4553,74.8,43,0,19.57,clear sky
692,Simpang,ID,-1.2667,104.0833,75.76,92,14,0.65,few clouds
693,Curitibanos,BR,-27.2828,-50.5844,70.93,53,86,7.27,overcast clouds
694,Prince Rupert,CA,54.3161,-130.3201,56.89,94,100,2.3,overcast clouds
695,Toledo,ES,39.8333,-4.0,87.31,21,0,14.34,clear sky
