,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Kalmunai,LK,7.4167,81.8167,82.04,76,72,10.51,broken clouds
80,Bengkulu,ID,-3.8004,102.2655,78.15,83,58,3.09,heavy intensity rain
81,Belmonte,BR,-15.8631,-38.8828,74.64,67,61,7.36,broken clouds
82,Prilep,MK,41.3464,21.5544,86.02,27,28,4.99,scattered clouds
83,Talaya,RU,61.3833,152.75,51.89,86,100,7.49,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,44.91,90,100,6.96,overcast clouds
85,Hofn,IS,64.2539,-15.2082,49.82,64,13,13.2,few clouds
86,Shipunovo,RU,52.1582,82.2173,61.39,42,20,6.98,few clouds
87,Ponta Do Sol,PT,32.6667,-17.1,81.01,86,26,7.02,scattered clouds
88,Luderitz,NA,-26.6481,15.1594,64.74,46,11,6.69,few clouds
89,Cherskiy,RU,68.75,161.3,37.45,89,6,2.44,clear sky
90,Arraial Do Cabo,BR,-22.9661,-42.0278,72.03,69,0,26.73,clear sky
91,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,91,16.73,light rain
92,Khatanga,RU,71.9667,102.5,59.52,56,14,6.51,few clouds
93,Motygino,RU,58.1831,94.7592,50.14,96,100,7.0,light rain
94,Ornes,NO,66.8689,13.7078,69.26,65,100,4.63,overcast clouds
95,Albany,US,42.6001,-73.9662,75.31,62,12,2.98,few clouds
96,Narasannapeta,IN,18.4167,84.05,81.37,83,100,12.17,overcast clouds
97,Kawalu,ID,-7.3817,108.2082,73.24,98,99,1.12,overcast clouds
98,Sechura,PE,-5.5569,-80.8222,66.38,74,60,14.58,broken clouds
99,Hobart,AU,-42.8794,147.3294,49.26,94,75,3.44,moderate rain
100,Dongsheng,CN,39.8161,109.9776,75.67,42,52,1.7,broken clouds
101,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,39,13.24,scattered clouds
102,San Quintin,MX,30.4833,-115.95,70.25,88,11,5.61,few clouds
103,Hamilton,US,39.1834,-84.5333,70.81,87,100,6.91,overcast clouds
